time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
1621.8,0.0008869748427672947,93.001419,0.082251,76.343456,71.094194,-9.433962264150926e-08
1637.7,-0.005269352201257863,93.001419,0.056005,76.343456,71.063675,1.974842767295598e-06
1653.6,0.007040830188679245,93.001419,0.069738,76.343456,73.016889,-1.754716981132075e-06
1669.5,0.0001476100628930819,92.742465,0.060888,76.22138,71.765611,6.352201257861639e-07
1685.4,0.0024586226415094343,92.832584,0.067297,76.22138,71.704573,2.5157232704402617e-08
1701.3,-0.004612276729559749,92.867874,0.066076,76.190861,71.857168,1.1320754716981131e-06
1717.2,0.008177333333333333,93.001419,0.066992,76.22138,71.307826,-2.257861635220126e-06
1733.1,-0.0008492767295597484,93.001419,0.070654,76.190861,71.460421,6.79245283018868e-07
1749.0,-0.003386578616352202,93.001419,0.072485,76.251899,71.948725,2.0943396226415097e-06
1764.9,-0.0005668364779874207,92.84499,0.063635,76.190861,71.429902,1.1635220125786166e-06
1780.8,-0.0037687358490566033,92.79587,0.060583,76.160342,71.124713,1.754716981132075e-06
1796.7,0.0003770062893081755,92.921092,0.059362,76.160342,71.857168,6.289308176100628e-07
1812.6,-0.004553025157232705,93.001419,0.069738,76.160342,71.613016,5.911949685534592e-07
1828.5,0.0021724905660377354,92.98025,0.103004,76.22138,71.246789,4.716981132075472e-07
1844.4,-0.0029071949685534593,92.878866,0.070349,76.22138,72.10132,1.0503144654088048e-06
1860.3,0.005633119496855346,92.799406,0.080725,76.190861,67.767626,-1.1635220125786164e-06
1876.2,0.002890672955974842,92.767037,0.069128,76.099304,67.889702,3.3333333333333325e-07
1892.1,-0.003058081761006289,92.824959,0.059057,76.129823,67.767626,9.245283018867922e-07
1908.0,0.01220151572327044,92.824959,0.089271,76.068785,67.309842,-2.547169811320755e-06
1923.9,-0.0015150691823899378,91.862475,0.071875,76.068785,67.157247,9.937106918238992e-07
1939.8,-0.00030627044025157254,91.862475,0.070654,76.068785,66.699462,6.918238993710701e-08
1955.7,0.0001239371069182381,93.001419,0.073401,76.068785,67.218285,5.283018867924533e-07
1971.6,0.0007124465408805028,93.001419,0.07157,76.007747,68.194892,5.283018867924528e-07
1987.5,-0.0013573647798742138,93.001419,0.07218,76.007747,70.789004,9.182389937106918e-07
2003.4,-0.00024326415094339627,93.001419,0.071875,76.038266,68.286449,7.421383647798741e-07
